Name,Actual_Price,Discount_Price,Rating,Discount,CPU,Ram,OS,SSD,Display,Warranty,Category
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298.0,15990.0,4.0,1% off,MediaTek Kompanio 520 Processor,4 GB LPDDR4X RAM,Chrome Operating System,32 GB Storage,29.46 cm (11.6 Inch) Display,1 Year Carry-in Warranty,Top Rated
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298.0,15990.0,4.0,1% off,MediaTek Kompanio 520 Processor,4 GB LPDDR4X RAM,Chrome Operating System,32 GB Storage,29.46 cm (11.6 Inch) Display,1 Year Carry-in Warranty,Top Cheapest
Ultimus Intel Celeron Dual Core N4020,24999.0,15999.0,3.3,36% off,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,Windows 11 Operating System,128 GB Storage,35.81 cm (14.1 Inch) Display,1 Year Manufacturing Warranty,Top Rated
Ultimus Intel Celeron Dual Core N4020,24999.0,15999.0,3.3,36% off,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,Windows 11 Operating System,128 GB Storage,35.81 cm (14.1 Inch) Display,1 Year Manufacturing Warranty,Top Cheapest
ASUS Chromebook CX14 Intel Celeron Dual Core N4500,23990.0,21490.0,3.8,10% off,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome Operating System,128 GB Storage,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,Top Rated
ASUS Chromebook CX14 Intel Celeron Dual Core N4500,23990.0,21490.0,3.8,10% off,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome Operating System,128 GB Storage,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,Top Cheapest
Lenovo Chromebook MediaTek Kompanio 520,30790.0,24990.0,3.9,18% off,MediaTek Kompanio 520 Processor,8 GB LPDDR4X RAM,Chrome Operating System,128 GB Storage,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,Top Rated
Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781),29990.0,24990.0,4.3,16% off,MediaTek Helio G99 (MT8781) Processor,8 GB LPDDR4X RAM,64 bit Android Operating System,128 GB Storage,35.81 cm (14.1 Inch) Display,1 Year Onsite Warranty,Top Rated
Lenovo Chromebook MediaTek Kompanio 520,30790.0,24990.0,3.9,18% off,MediaTek Kompanio 520 Processor,8 GB LPDDR4X RAM,Chrome Operating System,128 GB Storage,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,Top Cheapest
Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781),29990.0,24990.0,4.3,16% off,MediaTek Helio G99 (MT8781) Processor,8 GB LPDDR4X RAM,64 bit Android Operating System,128 GB Storage,35.81 cm (14.1 Inch) Display,1 Year Onsite Warranty,Top Cheapest
